measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1411061835_ims.csv	p1	0.47871	0	95.7564	833	0
BD18_1411061835_ims.csv	p2	0.50306	0	17.5551	875	0
BD18_1411061835_ims.csv	p3	0.63637	3.011	29.8117	1105	6
BD18_1411061835_ims.csv	p4	0.79519	3.542	21.0795	1379	7
BD18_1411061835_ims.csv	p5	0.5871	3.542	95.4667	1020	7
BD18_1411061835_ims.csv	p6	0.69028	3.978	38.8599	1198	8
BD18_1411061835_ims.csv	p7	0.71288	5.429	11.3813	1237	11
BD18_1411061835_ims.csv	p8	0.49668	6.927	88.5322	864	14
BD18_1411061835_ims.csv	p9	0.54885	7.91	71.0551	954	16
BD18_1411061835_ims.csv	p10	0.53668	7.91	35.5896	933	16
BD18_1411061835_ims.csv	p11	0.50885	11.466	16.7751	885	23
BD18_1411061835_ims.csv	p12	0.64449	18.861	25.7182	1119	38
BD18_1411061835_ims.csv	p13	0.80446	18.861	14.1425	1395	38
BD18_1411061835_ims.csv	p14	0.57725	22.886	11.7228	1003	46
BD18_1411061835_ims.csv	p15	0.83576	28.845	17.3088	1449	58
BD18_1411061835_ims.csv	p16	0.81374	28.845	27.3925	1411	58
BD18_1411061835_ims.csv	p17	0.84214	28.845	17.4235	1460	58
BD18_1411061835_ims.csv	p18	0.85663	28.845	11.9563	1485	58
BD18_1411061835_ims.csv	p19	0.68622	28.845	11.2963	1191	58
BD18_1411061835_ims.csv	p21	0.59754	28.845	145.65	1038	58
BD18_1411061835_ims.csv	p22	0.59812	18.861	226.779	1039	38
BD18_1411061835_ims.csv	p23	0.64333	28.845	180.01	1117	58
BD18_1411061835_ims.csv	p24	0.59754	36.863	196.947	1038	74
BD18_1411061835_ims.csv	p25	0.59812	56.285	81.3146	1039	113
BD18_1411061835_ims.csv	p28	0.44625	78.562	11.0948	777	158
BD18_1411061835_ims.csv	p32	0.44741	60.201	18.1082	779	121
BD18_1411061835_ims.csv	p37	0.44799	32.776	41.0767	780	66
BD18_1411061835_ims.csv	p38	0.44741	40.794	31.5903	779	82
BD18_1411061835_ims.csv	p39	0.44857	21.809	59.0994	781	44
BD18_1411061835_ims.csv	p40	0.45205	5.96	210.187	787	12
BD18_1411061835_ims.csv	p41	0.95806	96.518	34.7175	1660	194
BD18_1411061835_ims.csv	p42	1.02878	96.081	17.9156	1782	193
BD18_1411061835_ims.csv	p43	1.03631	96.081	15.8183	1795	193
BD18_1411061835_ims.csv	p44	1.09196	96.081	10.2476	1891	193
BD18_1411061835_ims.csv	p45	1.04095	96.518	15.297	1803	194
BD18_1411061835_ims.csv	p46	1.06703	96.518	11.782	1848	194
BD18_1411061835_ims.csv	p47	1.05602	97.048	14.2581	1829	195
BD18_1411061835_ims.csv	p49	1.06182	96.518	12.9373	1839	194
BD18_1411061835_ims.csv	p50	1.00096	96.518	24.9759	1734	194
BD18_1411061835_ims.csv	p51	1.01081	96.518	22.5275	1751	194
BD18_1411061835_ims.csv	p53	1.04964	96.518	14.2773	1818	194
BD18_1411061835_ims.csv	p54	1.07399	96.518	11.5275	1860	194
BD18_1411061835_ims.csv	p55	1.11398	97.048	10.803	1929	195
BD18_1411061835_ims.csv	p56	1.13949	96.518	22.7807	1973	194
BD18_1411061835_ims.csv	p57	1.08152	97.048	10.797	1873	195
BD18_1411061835_ims.csv	p58	0.95343	96.518	36.9441	1652	194
BD18_1411061835_ims.csv	p59	0.96444	96.518	34.7355	1671	194
BD18_1411061835_ims.csv	p60	0.97893	96.518	41.3006	1696	194
BD18_1411061835_ims.csv	p61	0.92503	96.518	108.465	1603	194
BD18_1411061835_ims.csv	p62	0.60681	100.418	90.4272	1054	202
BD18_1411061835_ims.csv	p64	0.88909	115.831	94.7886	1541	233
