measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1411061803_ims.csv	p2	0.50424	0	23.9062	876	0
BD18_1411061803_ims.csv	p4	0.63017	1.95	14.6386	1093	4
BD18_1411061803_ims.csv	p5	0.48277	0	89.8405	839	0
BD18_1411061803_ims.csv	p6	0.59767	2.403	15.1762	1037	5
BD18_1411061803_ims.csv	p7	0.63481	2.403	14.2735	1101	5
BD18_1411061803_ims.csv	p8	0.60405	3.385	12.957	1048	7
BD18_1411061803_ims.csv	p9	0.79614	3.385	13.5144	1379	7
BD18_1411061803_ims.csv	p10	0.69052	3.916	17.9599	1197	8
BD18_1411061803_ims.csv	p11	0.58781	3.916	81.9143	1020	8
BD18_1411061803_ims.csv	p12	0.58374	7.909	14.5345	1013	16
BD18_1411061803_ims.csv	p13	0.4967	6.49	154.983	863	13
BD18_1411061803_ims.csv	p14	0.53674	8.44	30.9314	932	17
BD18_1411061803_ims.csv	p15	0.54892	7.457	177.359	953	15
BD18_1411061803_ims.csv	p16	0.45201	5.959	52.3517	786	12
BD18_1411061803_ims.csv	p17	0.50888	10.858	55.8319	884	22
BD18_1411061803_ims.csv	p18	0.51352	21.809	17.439	892	44
BD18_1411061803_ims.csv	p19	0.59709	23.775	10.985	1036	48
BD18_1411061803_ims.csv	p20	0.47929	16.817	145.37	833	34
BD18_1411061803_ims.csv	p24	0.47929	0	340.361	833	0
BD18_1411061803_ims.csv	p25	0.87796	27.331	12.6624	1520	55
BD18_1411061803_ims.csv	p26	0.82109	27.799	19.7647	1422	56
BD18_1411061803_ims.csv	p27	0.8739	27.799	12.2716	1513	56
BD18_1411061803_ims.csv	p31	0.76074	26.801	11.43	1318	54
BD18_1411061803_ims.csv	p34	0.91743	27.799	13.2714	1588	56
BD18_1411061803_ims.csv	p36	0.8031	31.278	10.1734	1391	63
BD18_1411061803_ims.csv	p37	0.84721	29.749	705.216	1467	60
BD18_1411061803_ims.csv	p39	0.64294	32.355	301.306	1115	65
BD18_1411061803_ims.csv	p45	0.62553	88.952	38.3949	1085	179
BD18_1411061803_ims.csv	p54	0.47929	51.668	171.165	833	104
BD18_1411061803_ims.csv	p57	0.47929	65.536	168.04	833	132
BD18_1411061803_ims.csv	p61	0.47929	77.548	166.049	833	156
BD18_1411061803_ims.csv	p64	0.6087	58.142	22.6878	1056	117
BD18_1411061803_ims.csv	p65	0.60812	73.554	28.3039	1055	148
BD18_1411061803_ims.csv	p66	0.60696	89.482	105.343	1053	180
BD18_1411061803_ims.csv	p67	0.94586	92.961	48.8229	1637	187
BD18_1411061803_ims.csv	p68	1.12576	93.398	20.0654	1947	188
BD18_1411061803_ims.csv	p71	0.95863	93.398	50.8485	1659	188
BD18_1411061803_ims.csv	p76	1.0567	93.398	27.3945	1828	188
BD18_1411061803_ims.csv	p78	1.07295	94.022	23.6377	1856	189
BD18_1411061803_ims.csv	p80	1.11299	93.398	21.045	1925	188
BD18_1411061803_ims.csv	p82	1.03349	93.398	34.9308	1788	188
BD18_1411061803_ims.csv	p83	1.04394	94.022	32.6288	1806	189
BD18_1411061803_ims.csv	p84	1.1217	95.441	20.6438	1940	192
BD18_1411061803_ims.csv	p86	0.96617	95.441	50.897	1672	192
BD18_1411061803_ims.csv	p87	0.94122	95.441	44.9514	1629	192
BD18_1411061803_ims.csv	p89	1.02072	95.441	39.9608	1766	192
BD18_1411061803_ims.csv	p93	1.06425	97.875	26.2929	1841	197
BD18_1411061803_ims.csv	p95	1.0834	97.875	22.0214	1874	197
BD18_1411061803_ims.csv	p98	1.02595	97.875	37.4383	1775	197
BD18_1411061803_ims.csv	p99	1.05322	97.875	28.9724	1822	197
BD18_1411061803_ims.csv	p101	1.06831	97.438	24.6956	1848	196
BD18_1411061803_ims.csv	p103	1.03871	95.441	33.4901	1797	192
BD18_1411061803_ims.csv	p109	0.95457	93.398	51.462	1652	188
BD18_1411061803_ims.csv	p112	0.98068	93.398	62.8202	1697	188
BD18_1411061803_ims.csv	p115	0.99925	94.989	48.7822	1729	191
BD18_1411061803_ims.csv	p121	1.09733	99.388	19.0405	1898	200
BD18_1411061803_ims.csv	p125	1.10313	97.438	18.9398	1908	196
BD18_1411061803_ims.csv	p126	1.11706	97.438	20.9176	1932	196
BD18_1411061803_ims.csv	p130	1.09268	99.388	19.3953	1890	200
BD18_1411061803_ims.csv	p131	1.08804	97.438	21.3082	1882	196
BD18_1411061803_ims.csv	p133	1.14259	94.989	51.0744	1976	191
BD18_1411061803_ims.csv	p135	1.01608	99.388	41.0643	1758	200
BD18_1411061803_ims.csv	p137	1.07934	98.858	22.6714	1867	199
BD18_1411061803_ims.csv	p141	0.90176	91.416	21.4726	1561	184
BD18_1411061803_ims.csv	p145	0.88957	116.314	23.4476	1540	234
BD18_1411061803_ims.csv	p149	0.92555	102.867	99.3741	1602	207
BD18_1411061803_ims.csv	p162	0.47929	148.684	171.706	833	299
BD18_1411061803_ims.csv	p165	0.60696	133.677	42.5602	1053	269
BD18_1411061803_ims.csv	p168	0.60696	105.347	109.575	1053	212
