measurement_name	peak_name	t	r	signal	index_t	index_r
temp_BD18_1511110908_ims.csv	p1	0.47821	2	129.568	698	0
temp_BD18_1511110908_ims.csv	p2	0.50268	2	11.3789	740	0
temp_BD18_1511110908_ims.csv	p3	0.65706	1	10.1471	1005	6
temp_BD18_1511110908_ims.csv	p4	0.5487	1	159.722	819	16
temp_BD18_1511110908_ims.csv	p5	0.81434	0	27.4071	1275	59
temp_BD18_1511110908_ims.csv	p6	0.92561	3	49.6663	1466	195
temp_BD18_1511110908_ims.csv	p7	0.68968	-2	11.8848	1061	7
temp_BD18_1511110908_ims.csv	p8	0.49744	-1	247.621	731	14
temp_BD18_1511110908_ims.csv	p9	0.64424	2	225.058	983	60
temp_BD18_1511110908_ims.csv	p10	0.53589	1	26.2628	797	17
temp_BD18_1511110908_ims.csv	p11	0.6023	1	28.402	911	6
temp_BD18_1511110908_ims.csv	p12	0.59822	0	182.178	904	59
temp_BD18_1511110908_ims.csv	p13	0.58831	2	85.2534	887	8
temp_BD18_1511110908_ims.csv	p14	0.83706	0	17.3346	1314	59
temp_BD18_1511110908_ims.csv	p15	0.64948	2	13.9597	992	8
temp_BD18_1511110908_ims.csv	p16	0.45258	1	54.7101	654	10
temp_BD18_1511110908_ims.csv	p18	0.66055	3	12.6896	1011	195
temp_BD18_1511110908_ims.csv	p19	0.84231	0	16.5059	1323	59
temp_BD18_1511110908_ims.csv	p22	0.57783	2	29.4758	869	46
temp_BD18_1511110908_ims.csv	p23	0.85337	0	11.8999	1342	59
temp_BD18_1511110908_ims.csv	p24	0.50909	1	54.0809	751	21
temp_BD18_1511110908_ims.csv	p26	0.60696	1	132.512	919	196
temp_BD18_1511110908_ims.csv	p27	0.85745	0	10.9699	1349	59
temp_BD18_1511110908_ims.csv	p28	0.88949	-2	17.6211	1404	234
