measurement_name	peak_name	t	r	signal	index_t	index_r
temp_BD18_1511110857_ims.csv	p1	0.47914	-1	152.299	699	0
temp_BD18_1511110857_ims.csv	p2	0.50188	-1	11.5639	738	0
temp_BD18_1511110857_ims.csv	p3	0.49721	3	256.874	730	14
temp_BD18_1511110857_ims.csv	p5	0.69017	2	14.5988	1061	7
temp_BD18_1511110857_ims.csv	p6	1.05161	1	24.6427	1681	195
temp_BD18_1511110857_ims.csv	p8	0.65053	2	12.62	993	7
temp_BD18_1511110857_ims.csv	p9	0.5491	1	177.191	819	15
temp_BD18_1511110857_ims.csv	p10	0.81493	2	110.577	1275	59
temp_BD18_1511110857_ims.csv	p11	1.09884	5	16.2244	1762	194
temp_BD18_1511110857_ims.csv	p12	0.56484	0	10.2244	846	35
temp_BD18_1511110857_ims.csv	p13	0.45349	0	42.8124	655	10
temp_BD18_1511110857_ims.csv	p14	0.84291	2	65.4824	1323	59
temp_BD18_1511110857_ims.csv	p16	0.58816	2	101.163	886	7
temp_BD18_1511110857_ims.csv	p17	0.56833	3	11.227	852	36
temp_BD18_1511110857_ims.csv	p19	1.08135	5	19.4191	1732	194
temp_BD18_1511110857_ims.csv	p22	0.97525	1	54.8394	1550	195
temp_BD18_1511110857_ims.csv	p23	0.57766	-1	31.9025	868	46
temp_BD18_1511110857_ims.csv	p24	0.64412	2	397.794	982	59
temp_BD18_1511110857_ims.csv	p26	0.64179	-2	10.4079	978	206
temp_BD18_1511110857_ims.csv	p28	0.50946	2	42.4659	751	21
temp_BD18_1511110857_ims.csv	p31	0.72224	2	30.6898	1116	102
temp_BD18_1511110857_ims.csv	p32	0.97758	5	55.4388	1554	194
temp_BD18_1511110857_ims.csv	p33	0.84699	3	24.4813	1330	113
temp_BD18_1511110857_ims.csv	p35	0.92686	-1	127.989	1467	200
temp_BD18_1511110857_ims.csv	p36	0.833	3	29.7312	1306	113
temp_BD18_1511110857_ims.csv	p37	0.86215	3	38.0527	1356	113
temp_BD18_1511110857_ims.csv	p38	0.59865	3	649.198	904	113
temp_BD18_1511110857_ims.csv	p41	1.11691	5	18.2299	1793	194
temp_BD18_1511110857_ims.csv	p46	0.48847	-2	11.4694	715	143
temp_BD18_1511110857_ims.csv	p49	1.09301	1	16.9617	1752	195
temp_BD18_1511110857_ims.csv	p51	1.05686	1	23.7867	1690	195
temp_BD18_1511110857_ims.csv	p52	1.0283	1	32.4284	1641	195
temp_BD18_1511110857_ims.csv	p54	0.95951	5	52.2201	1523	194
temp_BD18_1511110857_ims.csv	p55	0.96417	5	51.448	1531	194
temp_BD18_1511110857_ims.csv	p56	1.00381	5	41.3844	1599	194
temp_BD18_1511110857_ims.csv	p57	1.01372	5	37.8568	1616	194
temp_BD18_1511110857_ims.csv	p58	1.14256	5	38.2117	1837	194
temp_BD18_1511110857_ims.csv	p60	1.03529	1	29.5431	1653	195
temp_BD18_1511110857_ims.csv	p61	1.12332	1	17.6413	1804	195
temp_BD18_1511110857_ims.csv	p62	0.60739	0	128.265	919	205
temp_BD18_1511110857_ims.csv	p64	0.89072	1	19.0259	1405	235
temp_BD18_1511110857_ims.csv	p65	0.96942	5	51.5468	1540	194
temp_BD18_1511110857_ims.csv	p66	0.76654	2	13.505	1192	282
temp_BD18_1511110857_ims.csv	p68	0.95543	5	52.9498	1516	194
temp_BD18_1511110857_ims.csv	p74	1.06269	5	22.3253	1700	194
temp_BD18_1511110857_ims.csv	p77	0.48847	3	23.0297	715	296
temp_BD18_1511110857_ims.csv	p78	1.10466	5	15.9184	1772	194
