measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1511110743_ims.csv	p2	0.50292	0	16.4965	870	0
BD18_1511110743_ims.csv	p3	0.69059	4.056	28.6843	1192	8
BD18_1511110743_ims.csv	p4	0.58743	3.526	140.49	1015	7
BD18_1511110743_ims.csv	p5	0.60725	3.526	26.4129	1049	7
BD18_1511110743_ims.csv	p6	0.45338	5.024	25.3052	785	10
BD18_1511110743_ims.csv	p7	1.02047	95.785	46.0385	1758	192
BD18_1511110743_ims.csv	p8	0.54838	7.488	217.816	948	15
BD18_1511110743_ims.csv	p9	0.80599	30.92	12.1772	1390	62
BD18_1511110743_ims.csv	p10	0.49709	6.521	251.305	860	13
BD18_1511110743_ims.csv	p11	1.0601	96.221	30.8005	1826	193
BD18_1511110743_ims.csv	p15	0.53498	9.516	33.2606	925	19
BD18_1511110743_ims.csv	p16	0.50817	10.031	58.999	879	20
BD18_1511110743_ims.csv	p17	1.01348	96.221	48.6487	1746	193
BD18_1511110743_ims.csv	p18	0.56762	17.925	32.9622	981	36
BD18_1511110743_ims.csv	p19	0.57752	23.463	21.419	998	47
BD18_1511110743_ims.csv	p23	0.59559	8.534	24.5066	1029	17
BD18_1511110743_ims.csv	p24	0.59617	14.508	12.1099	1030	29
BD18_1511110743_ims.csv	p25	1.09624	95.785	21.9214	1888	192
BD18_1511110743_ims.csv	p27	0.59617	23.463	14.4252	1030	47
BD18_1511110743_ims.csv	p28	1.10731	96.221	21.9009	1907	193
BD18_1511110743_ims.csv	p29	0.47728	3.526	16.6769	826	7
BD18_1511110743_ims.csv	p30	0.47728	15.476	60.3284	826	31
BD18_1511110743_ims.csv	p32	0.47728	24.945	61.1459	826	50
BD18_1511110743_ims.csv	p33	0.81532	28.47	16.1568	1406	57
BD18_1511110743_ims.csv	p34	0.47786	0	251.091	827	0
BD18_1511110743_ims.csv	p36	0.81182	27.94	15.6601	1400	56
BD18_1511110743_ims.csv	p37	0.71798	26.973	10.2418	1239	54
BD18_1511110743_ims.csv	p38	0.95345	96.221	61.0074	1643	193
BD18_1511110743_ims.csv	p39	1.03679	98.702	38.0698	1786	198
BD18_1511110743_ims.csv	p40	0.80191	27.94	11.0444	1383	56
BD18_1511110743_ims.csv	p41	0.79783	27.94	11.2301	1376	56
BD18_1511110743_ims.csv	p43	0.96452	99.139	60.9525	1662	199
BD18_1511110743_ims.csv	p44	0.77568	27.41	14.9915	1338	55
BD18_1511110743_ims.csv	p46	0.99774	98.702	56.3127	1719	198
BD18_1511110743_ims.csv	p48	0.99191	98.702	58.303	1709	198
BD18_1511110743_ims.csv	p51	0.7617	27.94	16.7884	1314	56
BD18_1511110743_ims.csv	p52	1.08458	95.785	24.3601	1868	192
BD18_1511110743_ims.csv	p53	1.11489	98.702	23.9162	1920	198
BD18_1511110743_ims.csv	p54	0.82173	30.92	16.2399	1417	62
BD18_1511110743_ims.csv	p55	1.04845	98.702	33.3311	1806	198
BD18_1511110743_ims.csv	p56	0.97734	99.139	65.0741	1684	199
BD18_1511110743_ims.csv	p57	0.84737	29.422	716.196	1461	59
BD18_1511110743_ims.csv	p60	0.7821	27.94	14.6574	1349	56
BD18_1511110743_ims.csv	p64	0.91848	27.94	18.9962	1583	56
BD18_1511110743_ims.csv	p65	1.09158	95.785	23.0699	1880	192
BD18_1511110743_ims.csv	p66	0.6871	32.417	11.9487	1186	65
BD18_1511110743_ims.csv	p67	0.59676	37.425	13.473	1031	75
BD18_1511110743_ims.csv	p71	1.11897	98.171	24.4143	1927	197
BD18_1511110743_ims.csv	p72	0.64397	31.965	354.083	1112	64
BD18_1511110743_ims.csv	p77	0.53498	81.292	12.9628	925	163
BD18_1511110743_ims.csv	p78	0.53498	49.374	25.661	925	99
BD18_1511110743_ims.csv	p81	0.53498	63.305	21.9877	925	127
BD18_1511110743_ims.csv	p86	0.62648	90.777	30.0559	1082	182
BD18_1511110743_ims.csv	p89	0.47728	45.35	69.7061	826	91
BD18_1511110743_ims.csv	p90	0.47728	50.342	72.8817	826	101
BD18_1511110743_ims.csv	p94	0.47728	65.318	74.3952	826	131
BD18_1511110743_ims.csv	p99	0.47728	79.81	74.4864	826	160
BD18_1511110743_ims.csv	p102	0.60783	58.828	16.3899	1050	118
BD18_1511110743_ims.csv	p103	0.60783	73.82	20.4772	1050	148
BD18_1511110743_ims.csv	p105	1.05428	98.702	31.9913	1816	198
BD18_1511110743_ims.csv	p108	1.07817	96.221	26.6366	1857	193
BD18_1511110743_ims.csv	p110	1.14228	96.221	50.491	1967	193
BD18_1511110743_ims.csv	p111	0.95753	99.139	61.4075	1650	199
BD18_1511110743_ims.csv	p113	0.92547	102.212	115.871	1595	205
BD18_1511110743_ims.csv	p115	0.62706	105.113	28.2264	1083	211
BD18_1511110743_ims.csv	p124	0.47728	149.074	81.8128	826	299
BD18_1511110743_ims.csv	p125	0.60725	142.07	30.5208	1049	285
BD18_1511110743_ims.csv	p128	0.60667	104.677	137.107	1048	210
