file_name peak_id t r sid col
BD18_1411061750_ims.csv 56 1.01724 94.989 3 #91B26F
BD18_1411061750_ims.csv 55 1.11996 93.475 3 #033BB3
BD18_1411061750_ims.csv 36 1.0509 96.97 3 #6FBE64
BD18_1411061750_ims.csv 55 1.06715 93.475 3 #033BB3
BD18_1411061750_ims.csv 36 1.0422 96.97 3 #6FBE64
BD18_1411061750_ims.csv 36 1.0126 96.97 3 #6FBE64
BD18_1411061750_ims.csv 34 1.06193 96.439 3 #D68295
BD18_1411061750_ims.csv 36 1.09094 96.97 3 #6FBE64
BD18_1411061750_ims.csv 36 0.99635 96.97 3 #6FBE64
BD18_1411061750_ims.csv 36 1.10023 96.97 3 #6FBE64
BD18_1411061750_ims.csv 36 0.93251 96.97 3 #6FBE64
BD18_1411061750_ims.csv 57 1.11532 94.006 3 #5A6D1B
BD18_1411061750_ims.csv 56 0.90176 94.989 3 #91B26F
BD18_1411061750_ims.csv 58 1.02304 98.499 3 #960883
BD18_1411061750_ims.csv 58 0.95225 98.935 3 #960883
BD18_1411061750_ims.csv 57 1.0834 94.006 3 #5A6D1B
BD18_1411061750_ims.csv 59 1.09675 100.449 3 #1DE74B
BD18_1411061750_ims.csv 58 1.03001 98.935 3 #960883
BD18_1411061750_ims.csv 56 1.14201 94.989 3 #91B26F
BD18_1411061750_ims.csv 60 0.92555 102.399 3 #5A865E
BD18_1411061750_ims.csv 37 0.88957 116.314 3 #12EB05
BD18_1411061750_ims.csv 61 0.6232 118.342 3 #D7031F
BD18_1411061750_ims.csv 62 0.60696 143.676 3 #3ACB62
BD18_1411061750_ims.csv 63 0.60696 105.971 3 #5E5961
BD18_1411061750_ims.csv 64 0.62727 106.954 3 #328895
BD18_1411061816_ims.csv 1 0.4794 0 4 #B3D6C8
BD18_1411061816_ims.csv 1 0.5032 0 4 #B3D6C8
BD18_1411061816_ims.csv 4 0.79633 3.931 4 #02D229
BD18_1411061816_ims.csv 8 0.58795 3.931 4 #9CC9CA
BD18_1411061816_ims.csv 6 0.63612 2.948 4 #B04473
BD18_1411061816_ims.csv 5 0.69069 3.931 4 #45F6F8
BD18_1411061816_ims.csv 38 0.4527 5.99 4 #7FC8C0
BD18_1411061816_ims.csv 38 0.49739 6.427 4 #7FC8C0
BD18_1411061816_ims.csv 12 0.54906 7.956 4 #7B2FD1
BD18_1411061816_ims.csv 12 0.53745 7.956 4 #7B2FD1
BD18_1411061816_ims.csv 65 0.509 10.888 4 #079670
BD18_1411061816_ims.csv 29 0.51133 21.387 4 #F1E6FD
BD18_1411061816_ims.csv 29 0.51481 21.824 4 #F1E6FD
BD18_1411061816_ims.csv 40 0.57866 22.822 4 #C0ECE7
BD18_1411061816_ims.csv 32 0.44747 14.898 4 #28FB19
BD18_1411061816_ims.csv 66 0.44689 24.772 4 #2117F5
BD18_1411061816_ims.csv 49 0.71797 28.329 4 #21E96F
BD18_1411061816_ims.csv 49 0.77485 28.766 4 #21E96F
BD18_1411061816_ims.csv 15 0.80678 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 15 0.90488 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 15 0.7824 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 49 0.78878 28.766 4 #21E96F
BD18_1411061816_ims.csv 49 0.7615 28.766 4 #21E96F
BD18_1411061816_ims.csv 15 0.79575 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 15 0.80213 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 15 0.81781 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 67 0.82129 29.842 4 #E6FE79
BD18_1411061816_ims.csv 15 0.84741 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 15 0.8805 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 67 0.89907 29.842 4 #E6FE79
BD18_1411061816_ims.csv 15 0.91765 29.312 4 #EDD2E7
BD18_1411061816_ims.csv 49 0.68662 28.329 4 #21E96F
BD18_1411061816_ims.csv 17 0.64367 29.312 4 #FAF8DF
BD18_1411061816_ims.csv 68 0.44689 34.288 4 #74EC4D
BD18_1411061816_ims.csv 69 1.05638 95.971 4 #A7DC49
BD18_1411061816_ims.csv 69 1.06102 95.971 4 #A7DC49
BD18_1411061816_ims.csv 36 1.04651 96.938 4 #6FBE64
BD18_1411061816_ims.csv 34 1.09294 96.408 4 #D68295
BD18_1411061816_ims.csv 34 1.01923 96.408 4 #D68295
BD18_1411061816_ims.csv 36 1.03548 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 1.07031 96.938 4 #6FBE64
BD18_1411061816_ims.csv 34 1.1121 96.408 4 #D68295
BD18_1411061816_ims.csv 36 0.95886 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 0.9635 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 1.01342 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 1.07785 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 1.0854 96.938 4 #6FBE64
BD18_1411061816_ims.csv 70 1.09817 97.469 4 #7CCE38
BD18_1411061816_ims.csv 36 0.98034 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 1.02445 96.938 4 #6FBE64
BD18_1411061816_ims.csv 36 1.05173 96.938 4 #6FBE64
BD18_1411061816_ims.csv 34 1.03025 96.408 4 #D68295
BD18_1411061816_ims.csv 71 1.1179 96.938 4 #3A5D16
BD18_1411061816_ims.csv 71 1.00704 96.938 4 #3A5D16
BD18_1411061816_ims.csv 71 1.14286 96.938 4 #3A5D16
BD18_1411061816_ims.csv 70 0.95073 97.469 4 #7CCE38
BD18_1411061816_ims.csv 72 0.92577 99.419 4 #53C928
BD18_1411061816_ims.csv 73 0.6071 101.93 4 #4BEBC4
BD18_1411061816_ims.csv 37 0.89036 116.345 4 #12EB05
BD18_1411061819_ims.csv 1 0.47917 0 5 #B3D6C8
BD18_1411061819_ims.csv 6 0.63582 3.011 5 #B04473
BD18_1411061819_ims.csv 6 0.79595 3.542 5 #B04473
BD18_1411061819_ims.csv 8 0.58824 3.994 5 #9CC9CA
BD18_1411061819_ims.csv 5 0.69094 3.994 5 #45F6F8
