file_name peak_id t r sid col
BD18_1410161000_ims.csv 1 0.47875 0 23 #B3D6C8
BD18_1410161000_ims.csv 6 0.89594 3.51 23 #B04473
BD18_1410161000_ims.csv 8 0.58906 3.947 23 #9CC9CA
BD18_1410161000_ims.csv 6 0.71874 3.51 23 #B04473
BD18_1410161000_ims.csv 3 0.82318 2.465 23 #BD9487
BD18_1410161000_ims.csv 5 0.6894 3.947 23 #45F6F8
BD18_1410161000_ims.csv 6 0.79326 3.51 23 #B04473
BD18_1410161000_ims.csv 6 0.63542 2.996 23 #B04473
BD18_1410161000_ims.csv 100 0.4987 7.457 23 #3023EE
BD18_1410161000_ims.csv 12 0.5474 7.988 23 #7B2FD1
BD18_1410161000_ims.csv 38 0.45586 5.975 23 #7FC8C0
BD18_1410161000_ims.csv 138 0.82318 18.876 23 #D0E43B
BD18_1410161000_ims.csv 138 0.82905 18.876 23 #D0E43B
BD18_1410161000_ims.csv 138 0.86426 18.876 23 #D0E43B
BD18_1410161000_ims.csv 138 0.80323 18.876 23 #D0E43B
BD18_1410161000_ims.csv 138 0.849 18.876 23 #D0E43B
BD18_1410161000_ims.csv 138 0.64715 18.876 23 #D0E43B
BD18_1410161000_ims.csv 40 0.57557 22.932 23 #C0ECE7
BD18_1410161000_ims.csv 49 0.7868 28.829 23 #21E96F
BD18_1410161000_ims.csv 49 0.85252 28.829 23 #21E96F
BD18_1410161000_ims.csv 49 0.81203 28.829 23 #21E96F
BD18_1410161000_ims.csv 49 0.83668 28.829 23 #21E96F
BD18_1410161000_ims.csv 49 0.84079 28.829 23 #21E96F
BD18_1410161000_ims.csv 49 0.64656 28.829 23 #21E96F
BD18_1410161000_ims.csv 124 0.59669 46.254 23 #6181E6
BD18_1410161000_ims.csv 49 0.59669 28.392 23 #21E96F
BD18_1410161000_ims.csv 147 0.59728 55.755 23 #183764
BD18_1410161000_ims.csv 138 0.59669 18.876 23 #D0E43B
BD18_1410161000_ims.csv 122 0.59669 36.848 23 #B8A76D
BD18_1410161000_ims.csv 155 0.6894 59.187 23 #A4BEDA
BD18_1410161000_ims.csv 77 0.87482 93.039 23 #31E0F7
BD18_1410161000_ims.csv 69 0.95462 95.519 23 #A7DC49
BD18_1410161000_ims.csv 77 0.88069 93.039 23 #31E0F7
BD18_1410161000_ims.csv 69 1.06904 95.519 23 #A7DC49
BD18_1410161000_ims.csv 69 1.08136 95.519 23 #A7DC49
BD18_1410161000_ims.csv 56 1.0931 95.083 23 #91B26F
BD18_1410161000_ims.csv 69 1.05261 95.519 23 #A7DC49
BD18_1410161000_ims.csv 69 1.09721 95.519 23 #A7DC49
BD18_1410161000_ims.csv 34 1.0174 96.487 23 #D68295
BD18_1410161000_ims.csv 69 1.10131 96.05 23 #A7DC49
