measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1511121738_ims.csv	p1	0.47893	0	168.708	832	0
BD18_1511121738_ims.csv	p2	0.5039	0	17.3141	875	0
BD18_1511121738_ims.csv	p4	0.59796	2.028	14.0936	1037	4
BD18_1511121738_ims.csv	p5	1.12107	98.202	17.2041	1938	197
BD18_1511121738_ims.csv	p6	0.58286	3.947	54.4807	1011	8
BD18_1511121738_ims.csv	p7	0.67576	3.947	13.0103	1171	8
BD18_1511121738_ims.csv	p8	0.69085	4.477	16.5139	1197	9
BD18_1511121738_ims.csv	p9	1.14488	97.235	40.5614	1979	195
BD18_1511121738_ims.csv	p10	0.56951	7.02	23.123	988	14
BD18_1511121738_ims.csv	p11	0.7193	28.969	24.0504	1246	58
BD18_1511121738_ims.csv	p12	0.71524	4.477	27	1239	9
BD18_1511121738_ims.csv	p13	0.49693	7.02	149.175	863	14
BD18_1511121738_ims.csv	p15	0.54919	7.987	70.9847	953	16
BD18_1511121738_ims.csv	p16	0.53757	7.987	62.7981	933	16
BD18_1511121738_ims.csv	p17	0.7791	28.969	12.6367	1349	58
BD18_1511121738_ims.csv	p18	0.5788	23.478	42.221	1004	47
BD18_1511121738_ims.csv	p19	0.44758	24.976	87.5155	778	50
BD18_1511121738_ims.csv	p20	0.92715	101.306	128.475	1604	203
BD18_1511121738_ims.csv	p21	1.09785	96.798	16.6346	1898	194
BD18_1511121738_ims.csv	p23	0.45165	5.007	614.717	785	10
BD18_1511121738_ims.csv	p24	0.74833	29.406	10.3563	1296	59
BD18_1511121738_ims.csv	p25	1.05953	96.798	26.4349	1832	194
BD18_1511121738_ims.csv	p26	0.70885	28.969	14.1162	1228	58
BD18_1511121738_ims.csv	p27	0.78955	29.406	11.9788	1367	59
BD18_1511121738_ims.csv	p28	1.07405	96.798	23.4567	1857	194
BD18_1511121738_ims.csv	p29	0.79884	29.406	11.0477	1383	59
BD18_1511121738_ims.csv	p30	0.98115	96.798	61.3393	1697	194
BD18_1511121738_ims.csv	p31	0.8151	29.406	15.7695	1411	59
BD18_1511121738_ims.csv	p32	0.78375	29.406	13.1912	1357	59
BD18_1511121738_ims.csv	p33	0.82091	29.406	15.9999	1421	59
BD18_1511121738_ims.csv	p34	1.1083	96.798	16.1084	1916	194
BD18_1511121738_ims.csv	p35	0.87374	29.406	11.1523	1512	59
BD18_1511121738_ims.csv	p38	0.94631	96.798	61.4891	1637	194
BD18_1511121738_ims.csv	p39	0.84877	29.406	384.779	1469	59
BD18_1511121738_ims.csv	p40	0.60667	103.256	147.219	1052	207
BD18_1511121738_ims.csv	p41	0.96025	97.235	60.2829	1661	195
BD18_1511121738_ims.csv	p42	0.91903	28.969	20.7049	1590	58
BD18_1511121738_ims.csv	p43	0.80465	29.406	12.7628	1393	59
BD18_1511121738_ims.csv	p44	1.06418	96.798	25.655	1840	194
BD18_1511121738_ims.csv	p45	0.82613	29.406	16.5827	1430	59
BD18_1511121738_ims.csv	p46	0.76227	29.406	22.3532	1320	59
BD18_1511121738_ims.csv	p47	0.90045	28.969	20.9607	1558	58
BD18_1511121738_ims.csv	p48	1.05082	97.235	28.8963	1817	195
BD18_1511121738_ims.csv	p50	1.08798	96.798	19.9529	1881	194
BD18_1511121738_ims.csv	p51	1.09321	96.798	18.5317	1890	194
BD18_1511121738_ims.csv	p52	1.12804	98.202	15.2102	1950	197
BD18_1511121738_ims.csv	p54	0.68737	28.345	62.9581	1191	57
BD18_1511121738_ims.csv	p55	0.64324	28.969	513.214	1115	58
BD18_1511121738_ims.csv	p58	1.11353	98.202	17.6655	1925	197
BD18_1511121738_ims.csv	p64	0.95096	96.798	61.678	1645	194
BD18_1511121738_ims.csv	p65	0.447	36.925	59.6404	777	74
BD18_1511121738_ims.csv	p66	0.447	59.826	36.412	777	120
BD18_1511121738_ims.csv	p67	0.97651	96.798	62.2184	1689	194
BD18_1511121738_ims.csv	p69	1.00147	96.798	49.635	1732	194
BD18_1511121738_ims.csv	p70	0.447	75.27	24.9524	777	151
BD18_1511121738_ims.csv	p73	0.95618	97.235	61.2631	1654	195
BD18_1511121738_ims.csv	p75	0.73962	92.227	20.5319	1281	185
