measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1511121734_ims.csv	p1	0.501	0	23.4313	870	0
BD18_1511121734_ims.csv	p2	0.48358	0	92.7654	840	0
BD18_1511121734_ims.csv	p3	0.50506	0	26.5833	877	0
BD18_1511121734_ims.csv	p4	1.08392	100.183	20.3984	1874	201
BD18_1511121734_ims.csv	p5	0.82555	28.876	19.1081	1429	58
BD18_1511121734_ims.csv	p6	1.11295	99.746	17.8998	1924	200
BD18_1511121734_ims.csv	p7	0.58576	3.51	51.4039	1016	7
BD18_1511121734_ims.csv	p9	0.5968	1.934	13.796	1035	4
BD18_1511121734_ims.csv	p10	0.6235	73.772	12.8083	1081	148
BD18_1511121734_ims.csv	p13	0.76168	27.908	17.2635	1319	56
BD18_1511121734_ims.csv	p14	0.6177	3.947	17.6035	1071	8
BD18_1511121734_ims.csv	p15	0.69027	3.947	13.6767	1196	8
BD18_1511121734_ims.csv	p17	1.12514	96.736	18.3578	1945	194
BD18_1511121734_ims.csv	p18	0.67576	3.947	11.7617	1171	8
BD18_1511121734_ims.csv	p19	0.81394	28.345	17.5043	1409	57
BD18_1511121734_ims.csv	p20	0.6235	58.344	11.8581	1081	117
BD18_1511121734_ims.csv	p21	0.80058	30.451	10.1688	1386	61
BD18_1511121734_ims.csv	p23	0.71524	4.477	22.1801	1239	9
BD18_1511121734_ims.csv	p25	0.6235	90.745	61.7375	1081	182
BD18_1511121734_ims.csv	p27	0.53699	7.987	68.2132	932	16
BD18_1511121734_ims.csv	p29	0.54919	7.457	270.212	953	15
BD18_1511121734_ims.csv	p31	0.57822	23.416	31.754	1003	47
BD18_1511121734_ims.csv	p33	0.5968	23.868	12.7831	1035	48
BD18_1511121734_ims.csv	p34	0.47951	47.83	447.445	833	96
BD18_1511121734_ims.csv	p36	0.447	24.398	76.7075	777	49
BD18_1511121734_ims.csv	p37	0.47951	54.366	458.222	833	109
BD18_1511121734_ims.csv	p39	0.47951	65.317	456.395	833	131
BD18_1511121734_ims.csv	p40	0.45165	5.008	544.56	785	10
BD18_1511121734_ims.csv	p42	0.47487	0	69.9677	825	0
BD18_1511121734_ims.csv	p45	0.47951	80.309	452.806	833	161
BD18_1511121734_ims.csv	p47	0.47951	24.913	395.049	833	50
BD18_1511121734_ims.csv	p49	0.47951	0	684.888	833	0
BD18_1511121734_ims.csv	p50	0.49461	19.952	67.7476	859	40
BD18_1511121734_ims.csv	p51	0.80987	30.888	13.7386	1402	62
BD18_1511121734_ims.csv	p53	0.49519	2.995	101.714	860	6
BD18_1511121734_ims.csv	p54	0.49577	6.942	270.059	861	14
BD18_1511121734_ims.csv	p55	0.60841	73.772	42.3371	1055	148
BD18_1511121734_ims.csv	p58	0.7791	27.908	11.4068	1349	56
BD18_1511121734_ims.csv	p59	0.60841	59.311	32.8235	1055	119
BD18_1511121734_ims.csv	p61	0.60725	90.745	168.267	1053	182
BD18_1511121734_ims.csv	p64	0.78375	28.345	10.7701	1357	57
BD18_1511121734_ims.csv	p67	0.91845	31.418	12.577	1589	63
BD18_1511121734_ims.csv	p70	1.12165	95.69	18.2759	1939	192
BD18_1511121734_ims.csv	p72	1.1083	96.205	17.2829	1916	193
BD18_1511121734_ims.csv	p74	1.05605	96.736	27.6731	1826	194
BD18_1511121734_ims.csv	p75	1.0874	96.736	20.3131	1880	194
BD18_1511121734_ims.csv	p77	0.89929	93.226	10.8597	1556	187
BD18_1511121734_ims.csv	p78	0.97592	96.736	64.0747	1688	194
BD18_1511121734_ims.csv	p80	1.07927	97.266	21.57	1866	195
BD18_1511121734_ims.csv	p81	1.0456	97.266	33.0205	1808	195
BD18_1511121734_ims.csv	p82	0.81916	28.345	18.6627	1418	57
BD18_1511121734_ims.csv	p83	1.09727	96.736	18.4585	1897	194
BD18_1511121734_ims.csv	p85	0.95444	96.736	64.5439	1651	194
BD18_1511121734_ims.csv	p86	1.01599	96.736	45.0744	1757	194
BD18_1511121734_ims.csv	p87	0.92715	103.256	122.523	1604	207
BD18_1511121734_ims.csv	p88	1.10249	97.266	17.1741	1906	195
BD18_1511121734_ims.csv	p93	1.11759	97.266	19.6684	1932	195
BD18_1511121734_ims.csv	p94	0.7193	27.378	20.0163	1246	55
BD18_1511121734_ims.csv	p96	1.06766	97.266	24.2971	1846	195
BD18_1511121734_ims.csv	p102	1.07347	96.736	22.5991	1856	194
BD18_1511121734_ims.csv	p105	0.84877	29.406	713.11	1469	59
BD18_1511121734_ims.csv	p107	0.47951	146.547	466.276	833	294
BD18_1511121734_ims.csv	p108	0.5968	37.924	13.0074	1035	76
BD18_1511121734_ims.csv	p112	0.68737	32.401	45.6506	1191	65
BD18_1511121734_ims.csv	p119	0.49461	148.575	71.0255	859	298
BD18_1511121734_ims.csv	p120	0.64324	31.933	377.622	1115	64
BD18_1511121734_ims.csv	p121	0.60725	133.614	66.0794	1053	268
BD18_1511121734_ims.csv	p129	0.94631	96.736	62.5911	1637	194
BD18_1511121734_ims.csv	p133	0.44584	79.7	24.2715	775	160
BD18_1511121734_ims.csv	p135	0.44642	40.856	52.1455	776	82
BD18_1511121734_ims.csv	p136	0.9707	96.736	62.0914	1679	194
BD18_1511121734_ims.csv	p137	0.60725	105.659	181.089	1053	212
BD18_1511121734_ims.csv	p139	0.6235	124.675	23.0204	1081	250
BD18_1511121734_ims.csv	p142	1.09321	100.183	18.3772	1890	201
BD18_1511121734_ims.csv	p149	0.44526	64.35	37.3938	774	129
BD18_1511121734_ims.csv	p153	0.95851	96.736	63.8081	1658	194
BD18_1511121734_ims.csv	p159	1.0067	100.183	48.1121	1741	201
BD18_1511121734_ims.csv	p161	1.02644	99.746	38.5652	1775	200
BD18_1511121734_ims.csv	p164	0.6235	105.659	57.0934	1081	212
BD18_1511121734_ims.csv	p165	1.03979	100.183	32.0926	1798	201
